<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>,<VOL>
RI.IMOEX,D,20170103,000000,2285.4300000,35361476775
RI.IMOEX,D,20170104,000000,2263.9000000,25110003543
RI.IMOEX,D,20170105,000000,2220.3500000,27415124274
RI.IMOEX,D,20170106,000000,2213.9300000,20165327203
RI.IMOEX,D,20170109,000000,2211.2500000,22482015752
RI.IMOEX,D,20170110,000000,2237.4900000,36020856703
RI.IMOEX,D,20170111,000000,2218.6100000,36461564415
RI.IMOEX,D,20170112,000000,2212.0000000,2356857806
RI.IMOEX,D,20170113,000000,2195.1900000,42466050989
RI.IMOEX,D,20170116,000000,2189.0700000,23936262365
RI.IMOEX,D,20170117,000000,2178.7300000,28139377671
RI.IMOEX,D,20170118,000000,2170.0900000,30577942830
RI.IMOEX,D,20170119,000000,2162.2500000,37111133409
RI.IMOEX,D,20170120,000000,2159.9600000,31573243736
RI.IMOEX,D,20170123,000000,2146.0900000,26168520190
RI.IMOEX,D,20170124,000000,2174.5900000,33802172657
RI.IMOEX,D,20170125,000000,2176.0000000,31668116818
RI.IMOEX,D,20170126,000000,2229.2000000,43653193710
RI.IMOEX,D,20170127,000000,2266.0500000,49995044331
RI.IMOEX,D,20170130,000000,2234.1400000,-19031079738
RI.IMOEX,D,20170131,000000,2217.3900000,33330303997
RI.IMOEX,D,20170201,000000,2231.6800000,28946938830
RI.IMOEX,D,20170202,000000,2217.5600000,32135487325
RI.IMOEX,D,20170203,000000,2226.6100000,30332628482
RI.IMOEX,D,20170206,000000,2210.5100000,28053268013
RI.IMOEX,D,20170207,000000,2218.7700000,24378965516
RI.IMOEX,D,20170208,000000,2189.6100000,36147621890
RI.IMOEX,D,20170209,000000,2173.9800000,37686993129
RI.IMOEX,D,20170210,000000,2162.1900000,32483207075
RI.IMOEX,D,20170213,000000,2161.4900000,30244774907
RI.IMOEX,D,20170214,000000,2141.5000000,29242797430
RI.IMOEX,D,20170215,000000,2137.0800000,39741338423
RI.IMOEX,D,20170216,000000,2148.4800000,28986630294
RI.IMOEX,D,20170217,000000,2128.2100000,30610671678
RI.IMOEX,D,20170220,000000,2119.0900000,25017968927
RI.IMOEX,D,20170221,000000,2127.7200000,25802257924
RI.IMOEX,D,20170222,000000,2106.3000000,31743152868
RI.IMOEX,D,20170224,000000,2093.0900000,24248539319
RI.IMOEX,D,20170228,000000,2035.7700000,59230525482
RI.IMOEX,D,20170301,000000,2059.8700000,35156360450
RI.IMOEX,D,20170302,000000,2049.0000000,39659486462
RI.IMOEX,D,20170303,000000,2056.8900000,31462614291
RI.IMOEX,D,20170306,000000,2047.4200000,26840317666
RI.IMOEX,D,20170307,000000,2024.8400000,34600927950
RI.IMOEX,D,20170309,000000,1974.2400000,56369667357
RI.IMOEX,D,20170310,000000,1973.9600000,38834557616
RI.IMOEX,D,20170313,000000,2000.1400000,27317778869
RI.IMOEX,D,20170314,000000,2001.2500000,33708845678
RI.IMOEX,D,20170315,000000,1992.5900000,28134110175
RI.IMOEX,D,20170316,000000,2014.3700000,49622252909
RI.IMOEX,D,20170317,000000,2036.9600000,43408044658
RI.IMOEX,D,20170320,000000,2042.7200000,30739790860
RI.IMOEX,D,20170321,000000,2048.0700000,34653523262
RI.IMOEX,D,20170322,000000,2061.5300000,37041863228
RI.IMOEX,D,20170323,000000,2051.0400000,32278458613
RI.IMOEX,D,20170324,000000,2039.7700000,21233341858
RI.IMOEX,D,20170327,000000,2013.1600000,25919840323
RI.IMOEX,D,20170328,000000,2032.5400000,25069436844
RI.IMOEX,D,20170329,000000,2023.7100000,21501534788
RI.IMOEX,D,20170330,000000,2021.8800000,24820610557
RI.IMOEX,D,20170331,000000,1995.9000000,23908791980
RI.IMOEX,D,20170403,000000,2008.6100000,20591635070
RI.IMOEX,D,20170404,000000,2025.6900000,20589349584
RI.IMOEX,D,20170405,000000,2056.3200000,33005042734
RI.IMOEX,D,20170406,000000,2054.6900000,22710629637
RI.IMOEX,D,20170407,000000,2020.2300000,34864697913
RI.IMOEX,D,20170410,000000,1971.2300000,40058371369
RI.IMOEX,D,20170411,000000,1977.9500000,32506887352
RI.IMOEX,D,20170412,000000,1947.8800000,29979954344
RI.IMOEX,D,20170413,000000,1944.7000000,40271297242
RI.IMOEX,D,20170414,000000,1916.2900000,12663595568
RI.IMOEX,D,20170417,000000,1942.7200000,19625706303
RI.IMOEX,D,20170418,000000,1920.2900000,27847626929
RI.IMOEX,D,20170419,000000,1916.5000000,25154193665
RI.IMOEX,D,20170420,000000,1932.1700000,34345740913
RI.IMOEX,D,20170421,000000,1944.7200000,30258091558
RI.IMOEX,D,20170424,000000,1979.5700000,35120007104
RI.IMOEX,D,20170425,000000,1998.4100000,33295013120
RI.IMOEX,D,20170426,000000,2026.9200000,34805951525
RI.IMOEX,D,20170427,000000,2011.6700000,39587702578
RI.IMOEX,D,20170428,000000,2016.7100000,36350344528
RI.IMOEX,D,20170502,000000,2026.8500000,31117806259
RI.IMOEX,D,20170503,000000,1993.6600000,35180986733
RI.IMOEX,D,20170504,000000,1998.8700000,30938975811
