Date	SBER	ALRS	GMKN	PLZL	RTKM	SNGS
2017-01-05	174.41	101.02000000000001	10084	4516	84.735	32.5625
2017-01-06	171.625	101.33	9998.5	4523.5	84.49000000000001	32.35
2017-01-09	170.22	100.60499999999999	10084.5	4515	84.82	32.335
2017-01-10	169.92000000000002	100.505	10257	4515	84.875	32.0475
2017-01-11	170.79500000000002	99.91	10369	4520.5	85.225	31.997500000000002
2017-01-12	169.335	100.055	10133.5	4515.5	85.35	32.065
2017-01-13	168.135	101.05	9866	4527.5	85.215	32.1475
2017-01-16	165.43	100.96000000000001	9778	4564	85.245	32.0875
2017-01-17	164.905	100.355	9690	4681.5	84.705	31.975
2017-01-18	166.055	100.53	9580	4610	84.55	32.0725
2017-01-19	165.84	100.765	9576.5	4593	84.35499999999999	32.0575
2017-01-20	166.805	99.065	9455.5	4601.5	84.66999999999999	32.525
2017-01-23	165.92000000000002	100.46000000000001	9404	4623	84.545	32.567499999999995
2017-01-24	168.97	104.225	9437	4596.5	84.41	32.7675
2017-01-25	170.4	105.25	9493.5	4611.5	83.23	32.755
2017-01-26	171.725	104.685	9689.5	4609	82.345	33.3
2017-01-27	175.95999999999998	106.345	9768.5	4607.5	83.51	33.495000000000005
2017-01-30	176.12	106.315	9799.5	4596	83.66499999999999	33.4375
2017-01-31	173.67000000000002	106.4	9724.5	4627	83.505	34.065
2017-02-01	173.01	105.43	9753	4574.5	85.015	34.72
2017-02-02	173.32	104.435	10055.5	4576.5	84.41499999999999	34.5475
2017-02-03	173.23000000000002	103.87	10117.5	4523.5	84.14	35.055
2017-02-06	173.6	104.67500000000001	10017.5	4537.5	84.065	35.075
2017-02-07	172.845	105.14	10011.5	4457.5	84.195	35.445
2017-02-08	171.96	104.85	10144.5	4472.5	84.05	35.397499999999994
2017-02-09	170.255	103.525	10052	4525.5	84.175	35.265
2017-02-10	167.925	103.16	9987	4463	85.125	34.894999999999996
2017-02-13	165.275	102.16	9970	4453.5	84.975	34.2775
2017-02-14	163.575	99.94999999999999	9791.5	4453	84.78	34
2017-02-15	162.785	99.475	9785	4438	83.47	33.985
2017-02-16	164.35500000000002	99.97	9937.5	4437	82.255	34.730000000000004
2017-02-17	165.76999999999998	100.235	9818	4450.5	80.79	34.9625
2017-02-20	165.31	98.24000000000001	9651.5	4467	79.465	34.650000000000006
2017-02-21	166.59	98.89	9601.5	4455	79.475	34.75
2017-02-22	166.325	97.25999999999999	9607	4465.5	79.4	34.58
2017-02-24	166.525	94.77000000000001	9465	4446.5	79.325	33.955
2017-02-27	163.48000000000002	94	9418	4433.5	79.59	32.8575
2017-02-28	158.445	92	9036.5	4334	78.64	32.9625
2017-03-01	158.45499999999998	93.465	9372.5	4437	78.85	32.0275
2017-03-02	162.315	95.03	9385	4430	78.975	32.425
2017-03-03	163.25	94.235	9290.5	4430	78.65	32.519999999999996
2017-03-06	163.995	94.875	9323.5	4466.5	79.025	32.417500000000004
2017-03-07	160.64	92.42500000000001	9151	4455	77.41499999999999	31.635
2017-03-09	158.035	90.12	8897.5	4429.5	75.105	31.855
2017-03-10	157.47500000000002	87.745	8800.5	4432.5	75.25999999999999	32.25
2017-03-13	157.865	86.755	8945.5	4437	75.35	31.945
2017-03-14	158.885	88.26	9037.5	4444	76.975	31.9625
2017-03-15	157.865	87.72	9097	4447	77.01	32.0475
2017-03-16	158.83499999999998	90	9110	4415	76.315	31.744999999999997
2017-03-17	160.51	93.765	9149.5	4425	76.32	32.3275
2017-03-20	162.33	94.66499999999999	9094.5	4410	76.85499999999999	33.095
2017-03-21	163.87	94.765	9075	4388	78.215	33.44
2017-03-22	161.33499999999998	93.48	9050	4403.5	77.565	33.63
2017-03-23	163.47	95.75	9171.5	4359	78.13499999999999	33.522499999999994
2017-03-24	164.485	95.175	9128.5	4399.5	77.64	33.2625
2017-03-27	162.235	94.475	8989.5	4426	77.135	32.754999999999995
2017-03-28	163.075	93.945	8948	4429.5	76.89	33.045
2017-03-29	163.635	92.855	8990	4432	76.50999999999999	33.15
2017-03-30	163	92.845	8947	4437.5	76.445	32.7175
2017-03-31	161.605	92.32	8918.5	4430	76.505	32.29
2017-04-03	161.39	92.185	8957.5	4425	76.62	31.9725
2017-04-04	162.325	91.77	8998	4396	76.66499999999999	32.207499999999996
2017-04-05	166.135	92.37	9106	4400.5	77.69999999999999	32.75
2017-04-06	167.3	91.39500000000001	9136	4413.5	77.9	32.6975
2017-04-07	163.775	89.92	9038	4408	77.46000000000001	33.075
2017-04-10	157.95	86.93	8962	3973	77	32.6925
2017-04-11	156.60000000000002	88.11	9002	4384.5	76.21000000000001	31.847499999999997
2017-04-12	153.86	89.62	8945	4391.5	75.565	30.8275
2017-04-13	151.52499999999998	88.955	8814.5	4394	75.14500000000001	30.1625
2017-04-14	150.425	88.19999999999999	8767.5	4375	73.75	30.4575
2017-04-17	150.91	88.01	8758	4403	74.17	29.9575
2017-04-18	153.87	88.925	8704.5	4387.5	74.49000000000001	29.8725
2017-04-19	153.87	88.68	8571	4286	74.06	29.560000000000002
2017-04-20	155.32999999999998	88.625	8545.5	4399.5	72.89	29.060000000000002
2017-04-21	159.05	91.44	8553.5	4397	73.685	29.205
2017-04-24	162.215	93.815	8586	4410	74.055	29.5075
2017-04-25	162.42000000000002	94.655	8759.5	4391	75.125	29.8975
2017-04-26	163.75	94.995	8830.5	4381.5	76.35	30.925
2017-04-27	164.53	96.16499999999999	8827.5	4387	75.99000000000001	31.2425
2017-04-28	164.95499999999998	97.36500000000001	8816.5	4400	74.645	30.945
